year,month,day,creators,cityFrom,coordinatesFrom,regionFrom,coutryFrom,addressees,cityTo,coordinatesTo,regionTo,countryTo,problems
1661,12,2,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1661,12,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1662,2,3,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1662,2,24,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1656,8,3,"Komenský, Jan Amos and Brethren",Hamburg,"53.57532, 10.01534",Hamburg,Germany,"Hartlib, Samuel",Westminster,"51.5, -0.11667",London,England,
1648,4,20,"Mersenne, Marin",Paris,"48.85341, 2.3488",Île-de-France,France,"Komenský, Jan Amos ~ Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,8,20,"Brethren, Elders of the (fl. 1657)",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"Cromwell, Oliver (Colonel)",London,"51.50853, -0.12574",England,England,
1658,5,19,"Komenský, Jan Amos and Brethren",Wrocław,"51.1, 17.03333",(Silesia) Poland,,"Sadovský ze Sloupna, Jan Jiří",London,"51.50853, -0.12574",England,England,
1642,4,16,"Komenský, Jan Amos and Brethren",London,"51.50853, -0.12574",England,,Consistory of London Dutch Church (fl. 1642),London,"51.50853, -0.12574",England,England,
1631,10,11,"Komenský, Jan Amos  ~ Cyrillus, Johannes (fl. 1629-34) ~ Pauli, Jiří (fl. 1629-1630)",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1632,10,11,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Anchoranus, Johannes",London,"51.50853, -0.12574",England,England,
1633,5,5,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1633,5,5,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1633,11,16,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1634,1,9,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1634,1,9,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1634,1,9,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1638,1,26,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1638,3,8,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1638,5,19,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1638,7,1,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1639,9,31,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1641,2,17,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1641,3,7,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1641,4,23,"Erastus, Jiří ~ Justinus, Laurentius ~ Komenský, Jan Amos ~ Fabricius, Paulus",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,Dutch Church in London (fl. 1631-34),London,"51.50853, -0.12574",England,England,
1654,,,"Gertich, Martin ~ Komenský, Jan Amos ~ Lochar, Václav ~ Felín, Jan ~ Hartmann, Adam Samuel ~ Henricij, Michael (fl. 1654) ~ Libelicky, Johannes Decanus (fl. 1654) ~ Teunens von Haerlem, Jacob (fl. 1654)",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Cromwell, Oliver (Colonel)",London,"51.50853, -0.12574",England,England,
1655,1,23,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1641,10,10,"Moriaen, Johann",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Komenský, Jan Amos",London,"51.50853, -0.12574",England,England,
1642,7,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1656,11,,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1656,12,15,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,1,4,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,7,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,7,20,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,7,27,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,8,3,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,8,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,8,24,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,10,1,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,10,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Peter, Hugh",London,"51.50853, -0.12574",England,England,
1657,10,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1657,10,12,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,1,18,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,2,22,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,2,28,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Sadovský ze Sloupna, Jan Jiří",London,"51.50853, -0.12574",England,England,
1658,3,8,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,3,15,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,3,22,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,4,12,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,5,8,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Stouppius, Johannes (fl. 1658)",London,"51.50853, -0.12574",England,England,
1658,6,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1658,7,13,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1659,6,8,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Daniel, Roger (fl. 1659)",London,"51.50853, -0.12574",England,England,
1661,,,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Charles II, King of England, Scotland, and Ireland",London,"51.50853, -0.12574",England,England,
1662,3,10,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1666,2,25,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Oldenburg, Henry",London,"51.50853, -0.12574",England,England,
1668,5,17,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Oldenburg, Henry",London,"51.50853, -0.12574",England,England,
1634,10,17,"Komenský, Jan Amos and Brethren",Toruń,"53.01375, 18.59814",Kujawsko-Pomorskie,(Royal Prussia) Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1642,4,19,"Seneva, St Roman de (fl. 1642)",Hamburg,"53.57532, 10.01534",Hamburg,Germany,"Komenský, Jan Amos",London,"51.50853, -0.12574",England,England,
1643,5,24,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Calandrine, Cesar (fl. 1633-47) ~ Beeck, Philip Op de",London,"51.50853, -0.12574",England,England,
1646,5,24,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Calandrine, Cesar (fl. 1633-47) ~ Beeck, Philip Op de",London,"51.50853, -0.12574",England,England,
1646,5,25,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1646,12,27,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1646,12,27,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Ritschl, Georg",London,"51.50853, -0.12574",England,England,
1646,12,27,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Calandrine, Cesar (fl. 1633-47) ~ Beeck, Philip Op de",London,"51.50853, -0.12574",England,England,
1647,1,21,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1647,1,21,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Ritschl, Georg",London,"51.50853, -0.12574",England,England,
1647,6,15,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Hartlib, Samuel",London,"51.50853, -0.12574",England,England,
1647,6,15,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Ritschl, Georg",London,"51.50853, -0.12574",England,England,
1641,10,19,"de Geer, Louis",Stockholm,"59.33258, 18.0649",Stockholm Municipality,Sweden,"Komenský, Jan Amos",London,"51.50853, -0.12574",England,England,
1668,,,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,The Royal Society,Arundel House,"51.51216, -0.11639",Strand,London,
1640,2,4,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Leszczyński, Bogusław",Włodawa,"51.55, 23.55",Lublin Voivodeship,Poland,
1656,11,11,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Gertich, Martin",Orsk,"51.58684, 16.35725",Lower Silesian Voivodeship,(Silesia) Poland,
1638,3,8,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Hübner, Joachim",Oxford,"51.75222, -1.25596",Oxfordshire,England,
1635,6,14,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Colvius, Andreas ~ Fris, Jacobus (fl. 1635)",Dordrecht,"51.81, 4.67361",South Holland,The Netherlands,
1637,8,3,"Erastus, Jiří ~ Komenský, Jan Amos) ~ Fabricius, Paulus",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Colvius, Andreas",Dordrecht,"51.81, 4.67361",South Holland,(United Provinces) Netherlands,
1656,4,19,"Rákóczi, György II ~ Medniansky, János",Alba Iulia,"46.06667, 23.58333",Judeţul Alba,(Principality of Transylvania) Romania,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1650,7,5,"Tolnai, János",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1650,8,1,"Rákóczi, György II",Sárospatak,"48.31667, 21.58333",Borsod-Abaúj-Zemplén,Hungary,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1654,10,28,"Heinlin, Johann Jacob",Bebenhausen,"48.55923, 9.06218",Baden-Württenberg,Germany,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1628,9,4,"Andreae, Johann Valentin",Calw,"48.71419, 8.74031",Württemberg,Holy Roman Empire (Germany),"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1629,9,15,"Andreae, Johann Valentin",Calw,"48.71419, 8.74031",Württemberg,Holy Roman Empire (Germany),"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1639,11,1,"Mersenne, Marin",Paris,"48.85341, 2.3488",Île-de-France,France,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1640,11,22,"Mersenne, Marin",Paris,"48.85341, 2.3488",Île-de-France,France,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1633,12,15,"ze Žerotína, Karel starší",Přerov,"49.4667, 17.5000",Moravia,Bohemian Lands,"Komenský, Jan Amos ~ Erastus, Jiří ~ Procopius, Matthias (fl. 1629-34) ~ Fabricius, Paulus",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1629,11,30,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1629,12,1,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1629, ,23,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1629,12,31,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1630,1,16,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1630,1,18,"ze Žerotína, Karel starší",Wrocław,"51.1, 17.03333",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1632,9,11,"Winkler, Georg (fl. 1632)",Złotoryja,"51.12637, 15.91979",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1634,4,25,"Czedlitz, Johann Georg à (fl. 1643)",Legnica,"51.21006, 16.1619",Silesia,Bohemian Lands,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1650,6,21,"Colbovius, Petrus (fl.1650)",Leipzig,"51.33962, 12.37129",(Electoral Saxony) Saxony,Germany,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1638,10,9,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1638,12,24,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1639,1,28,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1639,8,,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1639,11,,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1639,,,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1640,3,1,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1640,11,3,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1640,12,7,"Hübner, Joachim",London,"51.50853, -0.12574",England,,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1641,10,18,"Komenský, Jan Amos and Brethren",London,"51.50853, -0.12574",England,,Friends in Leszno,Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1669,2,5,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Bythner, Johannes",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1669,3,14,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Bythner, Johannes ~ Hartmann, Adam Samuel",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1635,3,5,"Berg, Conrad (fl. 1633-42",Bremen,"53.07516, 8.80777",Lower Saxon Imperial Circle,Holy Roman Empire (Germany),"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1640,6,5,"Stolz von Stolzenberg, Daniel",Prabuty,"53.755, 19.20547",Pomeranian Voivodeship,(Royal Prussia) Poland,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1645,2,6,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Gertich, Martin ~ Bythner, Johannes",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1647,4,22,"Komenský, Jan Amos and Brethren",Elbing,"54.1560613, 19.4044897",Warmian-Masurian Voivodeship,(Royal Prussia) Poland,"Gertich, Martin ~ Bythner, Johannes",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1650,2,1,Regii in Borussia Fisci Praefectus (fl. 1650),Gdańsk,"54.35205, 18.64637",Pomeranian Voivodeship,(Royal Prussia) Poland,"Komenský, Jan Amos",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,
1658,5,9,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Beale, John",Hereford,"52.05684, -2.71482",Herefordshire,England,
1665,10,20,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",The Hague,"52.07667, 4.29861",South Holland,(United Provinces) Netherlands,
1665,10,30,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Redinger, Johannes Jacob",The Hague,"52.07667, 4.29861",South Holland,(United Provinces) Netherlands,
1662,5,20,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Voetius, Gisbert",Utrecht,"52.09083, 5.12222",Utrecht,(United Provinces) Netherlands,
1630,10,20,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Evenius, Sigismund",Magdeburg,"52.12773, 11.62916",Lower Saxon Imperial Circle,Holy Roman Empire (Germany),
1630,6,31,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Dobříkovský, Jindřich (fl. 1630)",Leiden,"52.15833, 4.49306",South Holland,The Netherlands,
1631,10,11,"Komenský, Jan Amos ~ Cyrillus, Johannes (fl. 1629-34) ~ Pauli, Jiří (fl. 1629-1630)",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Rivet, André",Leiden,"52.15833, 4.49306",South Holland,The Netherlands,
1634,1,4,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Rivet, André",Leiden,"52.15833, 4.49306",South Holland,The Netherlands,
1640,12,18,"Komenský, Jan Amos and Brethren",Leszno,"51.84034, 16.57494",Greater Poland Voivodeship,Poland,"Polyander, Johannes van den Kerckhoven",Leiden,"52.15833, 4.49306",South Holland,Netherlands,
1669,3,27,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Almeloveen, Jan van",Mijdrecht,"52.20667, 4.8625",Netherlands,Netherlands,
1662,2,18,"Komenský, Jan Amos and Brethren",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,"Lukavský z Lukavice, Arnošt Maxmilián (fl. 1669)",Frankfurt (Oder),"52.34714, 14.55062",(Upper Saxon Imperial Circle) Brandenburg,Germany,
1663,11,6,"Nigrin, Kristián Vladislav",Geneva,"46.20222, 6.14569",Genève,(Swiss Confederation) Switzerland,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1658,3,8,"Schaum, Constantine",Transylvania,"46.5, 25.0",(Principality of Transylvania) Romania,,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1658,4,13,"Ott, Johann Heinrich",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1669,10,28,"Ott, Johann Heinrich",Zurich,"47.36667, 8.55",Zurich Canton,(Swiss Confederation) Switzerland,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1657,10,27,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1657,10,30,"Schaum, Constantine",Makovice,"48.12597, 22.79418",Chetfalva,Zakarpatia,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1663,7,1,"Věžník of Věžník, Adam Ladislav",Vienna,"48.20849, 16.37208",Wien,(Austrian Imperial Circle) Austria,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1670,1,13,"Spitzel, Gottlieb",Augsburg,"48.36667, 10.88333",Bavaria,(Bavarian Imperial Circle) Germany,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1667,7,18,"Kalinka, Joachim",Ilava,"48.993611, 18.234444",Trenčín Region,(Upper Hungary) Slovakia,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1658,4,27,"Drabík, Mikuláš",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1663,11,19,"Bielski de Karissow, Wenceslaus Godfried (fl. 1663)",Lednica,"49.10615, 18.21592",(Upper Hungary) Slovakia,,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
1663,3,16,"Calesius Lucas (fl. 1663) ~ Jeffon, Tobias (fl. 1663) ~ Bielski de Karissow, Wenceslaus Godfried (fl. 1663) ~ Junius, Samuel ~ Laurin, Pavel ~ Alfeus, Ezechiel (fl. 1663) ~ Vetterin, Pavel (fl. 1663) ~ Horatschek, Paulus (fl. 1663)",Púchov,"49.12494, 18.32596",(Upper Hungary) Slovakia,,"Komenský, Jan Amos",Amsterdam,"52.37403, 4.88969",North Holland,(United Provinces) Netherlands,
